mfcc,labels
"[-55.33593  114.42697  -34.03885   37.997505 -22.330322  18.537243
 -18.159187  13.812107 -27.804724  18.165419 -14.628683   6.551335
  -8.264944]",rock
"[-91.9124     129.96863      1.8372808   11.621115     3.2257633
  -1.9720755   -2.2193565   -0.85540605  -4.3434763   -3.5430148
  -1.5521154   -0.54191804   0.40201318]",rock
"[-58.583797    64.91177     15.929983     5.4289036    7.5244966
   9.883128     1.5946642    5.3538227   -1.2404982   -2.0384183
   2.4422328   -0.7197206   -0.30926558]",rock
"[-140.46417    149.30049    -10.073525    38.784744     1.5350952
   20.120266   -11.341879    16.292198   -13.255261    10.183559
   -9.257683     4.6997657   -8.370978 ]",rock
"[-1.8123041e+02  1.0343169e+02  9.3861580e+00  1.9078840e+01
  1.3772365e+01 -5.2121776e-01  4.3893824e+00 -7.6141815e+00
 -8.1173048e+00 -1.3711444e-01 -5.1818709e+00 -6.3062782e+00
 -5.4519358e+00]",rock
"[-118.39433     130.25537      -3.0893326    15.728805      3.9465375
   10.665425      6.837985      3.3979797     0.76980966   -2.5344226
   -3.1066287    -2.866894     -1.6236913 ]",rock
"[-56.960926  115.221     -30.44724    37.199028  -21.998432   21.875805
 -19.772882   15.003683  -24.094864   17.788218  -17.29499     6.7472944
 -10.742702 ]",rock
"[-225.03333    123.657265    -9.745124    56.613846    10.421821
   20.64321    -10.258778    15.571303    -8.24035     12.808757
   -9.0064745    7.6886315  -10.083798 ]",rock
"[-41.4065   105.41008  -43.93526   54.118137 -18.419096  23.529263
 -17.622051  20.664349 -18.46505   17.480465 -15.180026  11.313596
 -14.159313]",rock
"[ 4.0827870e+00  5.2608704e+01 -1.1054908e+01  1.9704363e+01
  1.1284098e+01  7.0590701e+00  5.0627990e+00  4.5616736e+00
  2.5624098e-02  5.1544223e+00  3.4035957e+00  1.1689494e+00
  5.8203977e-01]",rock
"[-98.38649   136.57487   -46.71402    46.476673  -17.152012   10.547506
 -14.580566   16.55133   -12.312679    3.7018619 -12.647758    2.9513052
 -12.505246 ]",rock
"[-42.662823  102.988686  -36.8779     44.5166    -11.9962015  25.576914
 -22.668953   28.336857  -19.271856   21.482964  -15.258891   11.748107
 -11.575924 ]",rock
"[-178.60347    154.00502     -4.958517    21.928644    -2.0540266
   23.674204    -1.284849    11.562133    -6.0270863    4.947251
   -2.940482     5.409077    -4.1239824]",rock
"[-91.39275  112.11608  -27.345358  47.97841  -19.601683  27.71872
 -18.550968  17.433367 -13.161514  14.41955  -15.218308  11.526149
 -12.587085]",rock
"[-42.399296    85.04793     -7.383805    40.714485    -1.0092216
  18.923359    -3.5411758    5.871917    -5.0200567    4.245414
  -3.1746843   -0.5802536   -0.52992374]",rock
"[-89.08187     81.389336   -12.564247    22.778366    -7.066863
  -0.49518725   2.7513537   -3.4457023   -7.7104874   -0.84374905
  -4.8830285   -2.6869316   -5.2926173 ]",rock
"[-114.78572    119.293335   -50.734497    42.62416     -6.7016063
   19.707987   -16.883589    19.394009   -17.410425    17.302908
  -10.872791     6.657837   -15.7666645]",rock
"[-119.15098   107.44224   -10.973196   58.555363  -12.933258   26.83433
  -17.646807   19.371737  -15.605269   13.570684  -16.67104    11.870045
  -12.196167]",rock
"[-111.25285    134.15211    -24.65805     41.54234     -3.0750804
   28.475191   -10.59955     14.917008   -14.410271     8.844091
   -4.5479774    9.940146    -4.680241 ]",rock
"[-121.12452    91.73827   -14.719739   52.961185  -11.417393   31.010504
  -17.489897   24.197327  -24.775946   17.118109  -15.880233   10.380572
   -8.630905]",rock
"[-235.20059    123.87175    -22.546131    52.951675    -1.453821
   24.660513    -7.088474    14.8901     -12.783066    16.718231
   -2.9434724   10.081299   -15.028531 ]",rock
"[-116.62627    109.25263    -23.163752    40.67948    -11.888837
   23.152943   -15.409277    15.1249895  -13.522578    12.695887
  -10.871556     8.497991   -11.577596 ]",rock
"[-202.22343      75.23143     -14.236297     66.306335     -8.287852
   24.383793    -16.236677     17.128633    -21.286032      3.9629781
  -19.76039       0.48267347   -4.509064  ]",rock
"[-256.37222    103.12504     -8.427773    48.58596     -4.1882463
   17.339882    -6.681784    17.037977    -4.612256     5.318705
  -10.017794     8.225862    -6.207776 ]",rock
"[-193.64023      98.43583      44.057926     23.775482     12.58054
    8.4607725     2.1690936    -0.34457624   -8.183045     -9.117337
   -5.2378254    -4.8426147    -1.3743817 ]",rock
"[-93.35886   137.46744   -45.09206    37.811535   -9.419834   12.59467
  -7.4806423   5.539186   -3.7403598  -2.0107427  -2.4594233  -9.579354
  -3.1679165]",rock
"[-185.50003     98.92578    -36.44288     44.427536   -17.75983
   21.284357   -20.293684    13.771658   -15.498613    11.033223
  -16.787758     2.3346374  -12.634641 ]",rock
"[-67.59407  109.12802  -32.71142   45.652374 -11.680288  27.491205
 -16.32995   22.081251 -15.446939  19.393972 -11.610448  11.576827
 -10.516491]",rock
"[-47.04379   95.77823  -43.917877  52.071087 -22.550802  20.861921
 -18.675611  19.246445 -21.253605  21.88196  -19.212608   9.452245
 -12.584075]",rock
"[-118.8025     104.436676   -29.188751    42.102615   -13.299715
   29.062935   -20.866318    21.608942   -24.331242    10.7288265
  -15.099055     5.9375844  -11.788948 ]",rock
"[-88.36004  105.4332   -24.509321  41.850685 -22.360504  23.72653
 -19.787085  15.147273 -27.103642  13.853663 -15.209694   8.935021
 -12.798515]",rock
"[-74.18399    76.735054   -3.8043847  28.03363     8.136066    6.016018
   4.299718    0.5060533   2.8456137  -0.9449358  -2.35504    -0.285972
  -1.456242 ]",rock
"[-121.46697    89.52725   -33.490353   41.959053  -25.940279   23.04037
  -20.253145   14.365855  -16.338194   17.046362  -16.961536    9.144576
  -10.106951]",rock
"[-211.21675     95.75193     40.583527    68.280975     5.304847
   30.969952    -5.2771754   22.821358    -1.623268    17.491806
  -11.495021     8.730979   -10.45692  ]",rock
"[-130.98306    111.02361     -2.1509993   41.78348     -3.2020328
   34.655052   -17.60973     19.878576    -9.146213    14.884945
   -6.846543     9.2045965   -6.9707727]",rock
"[-8.2697189e+01  8.3516876e+01 -5.9757274e-01  1.0497101e+01
  1.0424636e+01  7.0697875e+00  5.0785699e+00  7.8934781e-02
 -2.0585686e-01 -9.3491441e-01 -9.6742988e-02 -1.7009898e+00
 -1.0193595e+00]",rock
"[-124.989655  115.18234   -47.985886   52.820343  -13.493603   21.751259
  -12.41766    20.127153  -18.373245   10.123631  -16.045313   10.477311
  -17.95571 ]",rock
"[-245.10092      95.093445    -21.263948     45.649635     -3.5521014
   14.970439    -20.681795     19.520777    -21.715769      7.3187175
   -9.291168      0.81458414  -13.00813   ]",rock
"[-95.25766  103.813416 -37.01362   52.685883 -20.752981  27.573769
 -17.5265    24.807493 -11.295161  16.644753  -9.246779  10.183925
  -8.78414 ]",rock
"[-26.406563    85.88428    -17.211609    35.311554     9.982888
  10.665745     1.3990858    4.5759234   -0.12147764   2.0990708
   0.32295197   5.3930073   -1.0125064 ]",rock
"[-153.63005    109.904785   -23.091644    59.014496    -7.5204816
   19.728552   -16.488035    18.078285   -22.212603    15.408715
  -12.378634    12.347538   -12.3100605]",rock
"[-87.96438   93.53565  -23.224028  48.123466 -21.444712  27.754807
 -20.335535  18.751484 -15.218708  16.133469 -21.41218   10.867748
 -12.026507]",rock
"[  0.36834222  79.70758    -30.644737    61.064266   -17.460552
  26.701656   -21.24414     22.358158   -13.016821    17.87094
 -13.373003    19.25502    -10.970987  ]",metal
"[-76.301384   61.766037  -37.113945   62.4425    -14.826138   34.56099
 -11.486592   30.955881  -12.274118   22.304583   -7.5076523  17.840624
 -11.123554 ]",metal
"[-52.940304   50.09013   -11.491269   46.324932    6.5430007  10.116378
   5.4855285   8.844899    5.929942    6.625154   -4.0330343   9.778293
  -3.1172316]",metal
"[-82.511116  97.34172  -34.367928  71.4085    -3.292029  17.37537
  -9.026282  16.017792 -19.010939  12.084585  -9.567408  13.953283
 -14.459843]",metal
"[-51.620953  86.17162  -20.278296  59.064003 -10.875287  27.535135
 -11.259489  23.944515 -11.562588  13.299591  -9.01621   13.918654
 -10.735527]",metal
"[-15.672693 100.08496  -37.597607  45.951027 -20.771992  25.640266
 -18.628998  26.507004 -20.164482  21.119764 -13.650189  10.966076
 -15.529785]",metal
"[-77.4267     130.8787     -23.27522     61.981148     0.90219647
  30.512102    -8.751037    19.438396    -2.2219026   13.104675
  -3.2966616    8.926949    -8.95898   ]",metal
"[-12.502043  91.31737  -23.075956  50.965084 -12.095052  30.911148
 -14.991018  23.05281  -14.263137  23.069014 -17.673542  13.15619
 -15.185923]",metal
"[-140.7743      55.93842    -12.305976    44.334286   -10.598108
   10.867342    -0.9454207   22.24718     -9.377725    15.238384
   -3.057164     9.061382    -8.799073 ]",metal
"[-110.88208     83.1775     -45.262383    56.575737    -7.4917903
   19.974426   -13.3807125   21.210556   -15.712456    18.088774
  -18.111538    12.935681   -17.24048  ]",metal
"[-96.319695  90.949715 -32.219547  54.32833  -23.034355  27.715986
 -16.943092  21.053059 -18.197134  22.608377  -9.003789  14.271802
 -10.993184]",metal
"[-74.115265   80.08523   -46.961487   51.019073   -9.135112   31.777958
  -6.3894777  24.861723  -19.146336   20.790165  -11.678598   13.847807
 -16.471899 ]",metal
"[-79.10418  106.81736  -38.745987  39.85337  -26.75446   32.47149
 -15.025887  29.701763 -11.370745  13.771312 -14.506494  16.162413
  -3.071116]",metal
"[-78.647804  80.88358  -24.585787  47.03045  -23.746134  27.425705
 -17.417694  22.277847 -13.530479  21.572742 -11.101341  15.585338
  -9.702447]",metal
"[-76.3725    123.24473   -89.86509    76.42125   -21.255945   22.29254
 -13.6527815  14.644066   -6.308824    9.905394   -3.9231296   5.387962
  -2.486064 ]",metal
"[-82.13019    98.281494  -16.521841   68.43462     1.4349229  29.857725
  -5.2819605  24.396568  -10.477876   14.397421   -7.8960547  10.021555
  -8.499246 ]",metal
"[-79.6058    93.465515 -27.727808  64.066574 -18.799423  23.316315
 -10.544774  13.356813 -17.534975  16.389614 -10.039802   8.944684
 -16.07516 ]",metal
"[-135.4813     93.3442    -43.302967   59.231857   -8.526449   20.959759
   -6.542696   21.902744  -18.982998   17.052896  -15.888565   11.074281
  -18.491041]",metal
"[-35.23795   93.94743  -35.17942   62.7964   -11.723904  26.99777
 -10.754325  24.073627 -13.038538  13.60275  -12.412999  13.56914
 -12.245766]",metal
"[-135.4813     93.3442    -43.302967   59.231857   -8.526449   20.959759
   -6.542696   21.902744  -18.982998   17.052896  -15.888565   11.074281
  -18.491041]",metal
"[ 10.451379  63.716393 -28.423779  62.608288 -19.60048   28.830822
 -15.230641  19.305824 -10.698309  18.866392 -12.708805  18.040705
 -10.834188]",metal
"[-110.88208     83.1775     -45.262383    56.575737    -7.4917903
   19.974426   -13.3807125   21.210556   -15.712456    18.088774
  -18.111538    12.935681   -17.24048  ]",metal
"[-149.9959       67.87112      -6.662219     32.076023      6.0948653
   12.234471      9.144557     10.1837845     3.7711596    10.598272
    0.76798576    7.7185936    -1.1560501 ]",metal
"[-58.747185  70.53281  -19.41459   73.597404 -27.754702  23.767187
 -17.899994  21.221153 -16.954805  16.129747 -15.227396  14.870985
 -18.699234]",metal
"[  0.25672    94.185646  -32.401512   45.45294   -15.199273   25.886078
 -12.390217   19.618542   -6.8050222  17.22498   -12.98589    13.681323
  -8.688227 ]",metal
"[-43.095963   75.37249   -47.823303   53.022266  -12.325954   36.862835
  -8.285685   28.386372  -14.524615   22.091658   -7.3449435  15.974339
 -13.12713  ]",metal
"[-120.14749     91.317215   -38.84589     75.0084      -3.8132598
   22.665588    -8.11944     23.6549     -14.6307745   13.3709755
   -9.403306    13.706296    -9.315235 ]",metal
"[-93.58541    89.861046  -55.879726   51.63358    -5.5666103  28.788872
 -13.892081   27.35178   -15.314686   22.830261  -12.409005    9.700516
 -19.727627 ]",metal
"[-129.66246    104.03299    -26.97075     68.23634      2.4252665
   22.584345   -12.082626    17.048145    -5.671186    13.662889
   -2.7942126    5.3808393   -2.9976447]",metal
"[-45.855606 107.999084 -11.737645  66.32688  -30.20683    9.242658
 -25.778023  21.871576 -17.935884  10.272776 -14.112474  18.74616
 -14.23165 ]",metal
"[-107.15857      47.66012      -8.623368     38.404957      8.464611
    9.544071      1.0112349    20.752398      0.71035355   11.781386
    1.1649989    11.065436     -2.537655  ]",metal
"[-104.72376     87.75372    -33.24886     48.47425    -28.912521
   22.51424    -24.98013     20.53738    -12.0629835   18.249126
  -15.186173    10.295276   -13.891189 ]",metal
"[-36.520527  94.80008  -36.593456  54.991047  -8.216152  29.664177
 -13.687591  28.70313  -11.987736  19.361519 -15.656161  13.932657
 -11.961838]",metal
"[-93.54413  100.64616  -23.339111  52.490635  -7.746713  39.590942
  -7.766726  26.725874 -12.482563  11.733807 -10.551812  23.023441
  -9.955353]",metal
"[-28.094532  84.013565 -43.699223  47.963398 -22.446869  19.900108
 -25.177614  24.78486  -13.102411  24.660822 -16.40272   17.5464
 -15.407458]",metal
"[-100.42342    104.69319    -57.254       56.57685     -5.55565
   22.833267    -6.171516    23.097109   -19.071957    17.795355
  -13.782981     9.9627905  -14.858659 ]",metal
"[-84.9103    64.6441   -36.324474  65.36853  -13.865839  22.854403
 -15.553912  36.286213 -13.659292  21.254707  -9.240201  19.162218
 -10.595865]",metal
"[-61.91036    93.01313   -39.94318    56.141373  -19.668215   23.387537
  -7.6445403  17.707832  -19.321178   17.783268  -13.084654   14.295796
 -13.077747 ]",metal
"[-80.19851    64.840294  -15.457802   46.845818    7.9143405  21.7688
  -2.1780024  21.984138   -7.7135425  11.146057   -4.2872386  11.4456625
 -10.364868 ]",metal
"[-71.29067   82.33942  -30.162804  56.456177 -10.86737   26.810652
 -15.801576  25.331217 -15.626408  17.750357 -13.054565  14.61381
 -14.269172]",metal
"[  8.767137  82.828575 -30.575233  66.71375  -16.364315  16.56509
 -10.755587  29.541245 -25.093517  16.819788 -11.389715  12.785203
 -13.344586]",metal
"[-64.16982   74.51786  -45.95962   65.874855 -14.656126  23.85036
 -13.76839   37.754734 -10.581906  21.380354  -9.340069  17.906586
 -10.783356]",metal
"[-103.65422    73.85045   -16.147516   53.16935   -25.08461    33.998917
  -13.661814   25.987873  -18.908802   18.671436  -12.789649    9.549379
  -16.15425 ]",metal
"[ -1.9132981  72.68616   -32.791992   63.605476  -18.55635    25.870161
 -13.8591     18.078884  -11.946615   19.672184  -13.954248   18.755697
 -11.187991 ]",metal
"[-35.46846   94.10064  -24.217218  43.31534  -16.380928  29.513052
  -5.864533  28.445436 -13.962112  13.745398  -9.199172  15.588234
  -8.49749 ]",metal
"[-197.25984     74.13584    -10.736386    54.705547    -7.6014204
   18.409927   -18.879755    11.596195   -14.562567    18.414227
  -16.470966    12.57096    -10.469237 ]",metal
"[-117.906       65.43348    -51.41982     74.08295    -13.754418
   25.73151    -13.124018    32.21793    -10.338713    21.69744
   -7.7939715   12.340983   -14.446545 ]",metal
"[-76.82907   68.00133  -11.254527  76.371796 -17.47723   25.34032
 -17.897217  20.36891  -21.4179    14.218315 -15.766988  12.519558
 -18.503288]",metal
"[ 26.65341   79.78971  -52.055866  51.3199   -16.369469  22.01802
 -17.463215  30.917307 -15.998287  16.131706 -12.1922    11.308361
 -12.454751]",metal
"[ 16.490421  71.18601  -22.352016  60.271378 -18.55372   27.62332
 -12.408052  16.954391  -8.729572  17.86587  -13.46914   18.926594
 -11.023099]",metal
"[ 22.829609  60.81942   -6.397703  53.160336 -13.251242  27.90263
 -14.308226  29.683228 -17.330418  20.300093  -9.741712  17.123072
  -8.25026 ]",metal
"[-15.625049  99.14236  -45.630257  55.01213  -18.020166  23.897812
 -19.600197  27.337923 -15.103913  18.797401 -16.146687   9.214215
 -16.21849 ]",metal
"[-16.719742  94.1185   -32.79254   61.47652  -10.0955    34.224144
 -11.96456   28.192856 -15.318691  19.325191  -8.285293  17.9421
  -7.449494]",metal
"[ 13.4749975  78.02255   -32.99472    55.53537    -9.96921    35.403954
 -17.637697   29.051128  -11.246763   14.006471  -10.087248   16.530064
  -8.482169 ]",metal
"[  9.602479  54.68124  -21.033062  60.16367  -21.077375  32.142235
 -15.838814  21.44647   -8.722074  19.363522 -12.378998  19.74797
 -10.804131]",metal
"[  4.921885  75.08444  -24.7378    57.01522  -21.784542  26.046984
 -12.561588  17.442467 -10.24161   18.605198 -13.02789   18.950466
  -9.700774]",metal
"[-57.683716  101.41867   -41.490356   55.114075  -23.33916    28.144375
 -12.126061   18.141897  -15.424081   11.882042  -10.80153     9.3880205
 -12.276187 ]",metal
"[-62.234993 115.17359  -42.7843    54.301395 -24.871058  20.127165
 -21.635332  20.841629  -8.395902  20.32247  -10.730717   9.666508
 -14.542503]",metal
"[-111.67718    111.15006    -10.645003    69.673256    -4.905362
   29.825842   -10.380657    21.256948    -6.6366296   20.076212
   -7.225974    16.22662    -10.115574 ]",metal
"[-73.529945   74.65846   -16.444176   55.64547    -7.73465    36.538662
 -18.304913   27.82096   -11.9202     20.062939  -11.357838   14.71152
  -7.2920494]",metal
"[-99.95563   106.37162   -40.666348   52.714966  -20.737127   25.27559
 -11.828839   22.08307   -12.473506   13.768815  -14.382096   15.9662485
 -11.722279 ]",metal
"[-104.72376     87.75372    -33.24886     48.47425    -28.912521
   22.51424    -24.98013     20.53738    -12.0629835   18.249126
  -15.186173    10.295276   -13.891189 ]",metal
"[  3.6384408 104.7562     -0.8330117  55.920498  -29.22942    31.247383
 -14.18906    20.21433    -8.2728195  15.177011  -14.592086   15.659341
 -12.991372 ]",metal
"[-74.911835  79.12138  -40.891678  54.720924  -9.688235  37.25772
 -14.983511  20.934235 -17.433065  16.575285 -11.098043  15.470943
 -11.12968 ]",metal
"[-86.23198    76.77148   -42.36282    53.992195   -8.330779   29.406782
  -7.8969393  26.659845  -14.230666   18.45901   -17.954203    9.866014
 -19.030064 ]",metal
"[-66.68023    88.369576  -27.548222   53.182358   -9.191762   27.966816
  -8.108185   26.2966     -8.240403   12.689763   -7.1285152  13.682774
  -8.3691435]",metal
"[-95.38948    92.07625   -28.034975   52.784756   -3.0201979  25.395441
  -6.132024   20.092926  -10.223895   12.40339    -8.271537   11.690028
  -9.267028 ]",metal
"[-35.695076   115.43363    -40.62704     75.3601     -12.551094
  21.83495      1.8066261   15.609134    -0.17512879  10.240898
 -11.757829    15.403562   -12.46797   ]",metal
"[  4.0256367  83.2709    -37.250732   62.33895   -14.855973   23.411692
 -10.471727   16.797787   -7.959584   16.292543  -11.260961   13.323189
  -7.821479 ]",metal
"[  9.593644  76.35295  -31.271177  56.885223 -20.743324  27.245623
 -16.636316  19.367924 -13.913679  19.664995 -16.060602  17.488628
 -12.95419 ]",metal
"[-58.26438  105.85012  -43.89204   58.44616  -18.43399   27.973726
 -17.970455  21.04627  -15.554038  13.396519 -15.686207   9.36363
 -15.322578]",metal
"[-42.059067  86.99415  -27.527782  62.616234 -27.00237   32.331192
 -18.957167  22.128767 -14.316716  19.505413 -10.960919  16.760109
 -12.37703 ]",metal
"[-100.42342    104.69319    -57.254       56.57685     -5.55565
   22.833267    -6.171516    23.097109   -19.071957    17.795355
  -13.782981     9.9627905  -14.858659 ]",metal
"[ -1.694594   73.40456   -15.908845   55.804432   -1.9026612  34.030216
  -8.318228   32.759865   -9.707088   20.836563   -9.03743    13.959178
  -9.585643 ]",metal
"[-67.92382  108.93854  -33.82898   50.489887 -21.362123  21.491247
 -14.870393  11.620577 -19.260174  10.526651 -13.919647   5.553817
 -14.430823]",metal
"[-29.381208  101.87547   -29.11233    69.73011   -16.168983   19.438528
 -18.33918    19.062609  -18.282995   15.279576   -8.244228    2.4893925
 -14.794669 ]",metal
"[-46.60955   86.80201  -34.77667   49.884212 -18.167683  28.716509
 -23.474312  15.655808  -8.934668  10.588919 -18.180574  12.43322
 -13.548779]",metal
"[  2.7837267  77.06304   -17.550632   57.951275    0.7442921  28.829195
  -7.858991   27.606932  -13.541932   17.285963   -7.569737   13.035099
  -8.743485 ]",metal
"[-61.545593   71.761055  -46.29924    75.412506  -18.5159     35.931072
 -12.677866   28.369665   -9.348156   14.502804   -4.2636037  11.863775
 -16.02711  ]",metal
"[-40.49335   105.29485   -14.107663   54.843636   -1.1911925  20.077198
 -11.698834   22.175388  -10.231946   14.189074   -6.91101    13.343558
  -9.252238 ]",metal
"[-100.889046   76.13688   -29.544004   69.70981   -17.342714   21.39084
  -12.918476   22.007465   -9.841167   18.424643  -12.047207    8.983145
  -20.870852]",metal
"[-90.71683   128.03282   -34.72987    73.73097     4.3483534  28.08752
  -0.521448   17.3454      4.391154   12.304352    2.2642078   5.675272
  -6.7603726]",metal
"[-99.87088    102.13179    -23.61975     63.055237    -8.763341
  30.725077    -9.637298    14.158516     0.38010976  13.219311
 -10.086185     9.18603     -4.92889   ]",metal
"[ 11.953702  69.42064  -23.265295  60.70008  -20.82187   25.098858
 -16.187572  15.548446 -10.504553  18.777107 -13.392752  17.374573
 -11.054032]",metal
"[-43.79751    82.774704  -29.60919    70.39718   -21.588846   31.144142
   2.0903716  28.873163   -2.6873274  19.882483   -6.9340773  19.120056
  -7.368736 ]",metal
"[-74.115265   80.08523   -46.961487   51.019073   -9.135112   31.777958
  -6.3894777  24.861723  -19.146336   20.790165  -11.678598   13.847807
 -16.471899 ]",metal
"[-86.23198    76.77148   -42.36282    53.992195   -8.330779   29.406782
  -7.8969393  26.659845  -14.230666   18.45901   -17.954203    9.866014
 -19.030064 ]",metal
"[-108.10116      65.7679      -20.839346     47.553825      0.86709434
    8.987105     -3.2015545    20.969145    -10.341167      7.8690696
   -8.121823     12.04054      -9.151338  ]",metal
"[-19.165882  118.84071   -52.14489    42.70032   -21.57285    27.6777
 -14.611529   27.019527  -17.12797    18.968197  -10.767422    9.388282
  -4.6614876]",metal
"[-89.35648   82.35881  -23.250647  68.10648  -13.07544   22.445688
 -18.51355   26.229427 -14.34578   21.501034 -13.874236  12.476178
 -14.113441]",metal
"[-96.652916 101.72488  -16.835794  47.30034  -27.080929  28.283823
 -17.181023  21.641132 -17.88522    7.021394 -14.604523  15.221766
 -16.001877]",metal
"[-122.13073     62.294144   -34.455505    75.62576      6.265152
   22.035965   -10.951549    23.228693   -12.286277     5.607922
   -6.9927683    5.608427   -14.394314 ]",metal
"[-75.01482   81.182755 -20.20419   68.30383  -11.353893  23.65647
 -19.828419  24.19209  -13.164456  22.281841 -11.552501  13.55542
 -15.050375]",metal
"[-24.984938   77.5327    -30.377945   68.362      -6.5110335  24.695713
  -9.807751   19.519594  -11.459886   18.600405  -14.158085   14.448771
  -5.9254303]",metal
"[  1.1601229  66.661285  -23.696735   60.959904  -18.8799     29.750109
 -17.541328   21.03256   -11.1868925  18.81291   -13.0625515  19.95668
 -10.566299 ]",metal
"[-201.1977     76.78211   -14.798453   68.737755  -12.944738   36.95659
  -10.983901   23.68839   -12.268321   16.671507  -11.074646   15.571094
  -11.184892]",metal
"[-75.53899   81.87488  -22.043093  69.874    -11.727045  25.740551
 -18.521591  27.030556 -14.075854  22.139402 -12.094865  14.948557
 -13.516832]",metal
"[-93.58541    89.861046  -55.879726   51.63358    -5.5666103  28.788872
 -13.892081   27.35178   -15.314686   22.830261  -12.409005    9.700516
 -19.727627 ]",metal
"[ 10.019839   74.12789   -32.235733   62.768585  -23.328833   30.029894
 -14.879809   20.1592    -12.146164   19.189724  -14.9750185  18.799034
 -12.281959 ]",metal
"[-105.01983    80.71132   -28.524954   66.808876  -20.705503   29.117426
   -9.36118    22.350224  -12.045787   13.597408  -14.733175   11.056683
  -15.270405]",metal
"[-161.77791    78.69161   -19.243172   55.110035   13.188936   30.961428
   -7.010763   24.295376  -12.827424   21.51842   -13.527458   12.775019
   -7.452332]",reggae
"[-63.820232    88.242676   -27.582493    18.598444    -3.5857682
   5.2034063    0.98859835   8.044875    -4.4020996    2.272666
   4.1477814   -2.203778    10.268399  ]",reggae
"[42.09145    37.40042    -7.90959     4.4857416   8.942608    3.5316226
  3.0874798   1.6347404   6.270096    1.827187   -0.55574524 -0.39817977
  1.6274769 ]",reggae
"[-154.80096    110.02115    -18.445381    36.652042     0.5233885
   31.578094   -10.432264    18.818375    -7.174978    13.144798
   -5.248939     8.900309    -6.7106643]",reggae
"[-169.15335    110.46        -8.5762      43.884247     0.2749697
   26.637417   -14.368152    13.034431   -11.149249     8.130109
   -7.6929665   10.910651    -8.175924 ]",reggae
"[-1.47102890e+02  1.20109085e+02 -2.16029282e+01  3.96394348e+01
  6.94243050e+00  1.50837564e+01 -1.01468635e+00  1.59405212e+01
  2.54706168e+00  4.49618196e+00  1.56984497e-02  4.32693720e+00
  4.64097452e+00]",reggae
"[-170.86713     107.73833      -1.7606593    46.446262     -0.19452447
   24.93753     -10.676094     18.083887    -10.79039      11.160347
   -7.255222      6.207867     -6.469771  ]",reggae
"[-232.50473    131.2295       2.6469772   18.397951    11.315558
   22.92844    -10.467937    16.771238   -15.256651    15.530609
   -8.389645     8.022548    -3.7816064]",reggae
"[-142.80992    103.12614    -15.227189    38.25691    -13.002163
    2.750306    -1.6656564   -3.438929    -4.4527035   -9.288577
  -10.127065    -2.1181872   -4.4648905]",reggae
"[-1.68589310e+02  1.09539154e+02 -2.06548157e+01  3.89436493e+01
  7.95773363e+00  3.36937487e-01  6.04809475e+00  4.08280611e+00
 -1.36423767e+00  1.20435961e-01  2.42694244e-01  3.47312272e-01
  5.30225658e+00]",reggae
"[-171.62009     99.35643     -8.280707    49.61246      1.0821393
   31.125254    -7.139069    15.894791    -1.3649509   12.743275
   -5.194913    11.808011    -5.32604  ]",reggae
"[-70.077705    54.365875    15.58782     19.808748    27.015232
  13.240905     0.6896496   10.069888     6.68256     -0.30866414
   2.969903     6.0213795    1.0961132 ]",reggae
"[-94.26049     68.1341       4.0290747    7.6326213   12.799715
  -3.1867485   -3.9116669    3.8171222   -6.116798    -0.35358283
   0.3277286   -4.678538    -3.0110476 ]",reggae
"[-206.51552    122.598175    -0.5765911   29.354094    10.233527
   28.23236     -9.929435    13.371487    -8.455472    11.285514
   -7.2900777    7.07311    -10.346017 ]",reggae
"[-2.4382346e+02  1.2333697e+02 -1.5560958e+01  3.8889877e+01
  6.4969878e+00  2.5511036e+01  3.0384357e+00  1.7182751e+01
 -2.1878767e-01  8.9844074e+00 -2.4903073e+00  6.7658329e+00
 -3.4475503e+00]",reggae
"[-300.45297     99.252045    53.02273     43.22858     18.889395
   24.840748    -7.9489493   22.167065     1.7830727   24.789507
    8.392867    20.708576     2.8050349]",reggae
"[-105.895134    88.19101     19.303366    30.587206    10.000641
   17.935595     3.6842968    8.918493     5.854395     8.842855
    5.608968    10.507836     5.9251924]",reggae
"[-76.08659   101.112076  -11.623927   46.250248  -11.212149   31.397367
  -9.473126   22.47439   -16.812243   15.9744     -9.512782   11.821731
  -7.8461685]",reggae
"[-159.94904      92.831566    -28.738466     31.430214     -6.613218
   12.648388      0.8581188    10.94528      -2.085535      3.6626525
    3.5688593     0.32369548    8.55835   ]",reggae
"[-121.542076    89.58558     23.789017    32.782005     8.866975
   -2.6041195    6.634385     1.7822745   -2.9385774   -3.0915277
   -0.6919334   -5.426301    -6.5422583]",reggae
"[-2.2643794e+02  1.0331865e+02  1.1767049e-01  4.3954048e+01
  1.0618828e+01  3.5184147e+01  8.4234886e+00  2.1131069e+01
 -3.3074749e+00  1.5531953e+01 -3.0139625e+00  1.1094140e+01
  1.7773502e+00]",reggae
"[-93.51898     80.19957     -0.32109216  15.24674      4.3359027
   9.050054     1.6788756    2.5456696   -4.296264     0.9993399
  -1.6968484   -2.9973223    2.2623456 ]",reggae
"[-194.7791      83.05221     -0.7635783   32.33564      2.809827
   23.164373     2.9725366   14.224824     8.545868    10.442086
    7.072537     8.811519     1.4220293]",reggae
